/raid/data/tang/venv/lib/python3.11/site-packages/torch/cuda/__init__.py:141: UserWarning: CUDA initialization: Unexpected error from cudaGetDeviceCount(). Did you run some cuda functions before calling NumCudaDevices() that might have already set an error? Error 804: forward compatibility was attempted on non supported HW (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:108.)
  return torch._C._cuda_getDeviceCount() > 0
logits:tensor([[0.4768, 0.5364]]), confscore:tensor([[0.5232, 0.4636]])
logits:tensor([[0.4488, 0.5643]]), confscore:tensor([[0.5512, 0.4357]])
logits:tensor([[0.8266, 0.1975]]), confscore:tensor([[0.1734, 0.8025]])
logits:tensor([[0.8579, 0.1313]]), confscore:tensor([[0.1421, 0.8687]])
logits:tensor([[0.8693, 0.1156]]), confscore:tensor([[0.1307, 0.8844]])
logits:tensor([[0.0334, 0.9654]]), confscore:tensor([[0.9666, 0.0346]])
logits:tensor([[0.4794, 0.5056]]), confscore:tensor([[0.5206, 0.4944]])
logits:tensor([[0.5981, 0.4283]]), confscore:tensor([[0.4019, 0.5717]])
logits:tensor([[0.9438, 0.0658]]), confscore:tensor([[0.0562, 0.9342]])
logits:tensor([[0.8410, 0.1482]]), confscore:tensor([[0.1590, 0.8518]])
logits:tensor([[0.9044, 0.0869]]), confscore:tensor([[0.0956, 0.9131]])
logits:tensor([[0.5437, 0.4020]]), confscore:tensor([[0.4563, 0.5980]])
logits:tensor([[0.4824, 0.5063]]), confscore:tensor([[0.5176, 0.4937]])
logits:tensor([[0.8655, 0.1214]]), confscore:tensor([[0.1345, 0.8786]])
logits:tensor([[0.3977, 0.6289]]), confscore:tensor([[0.6023, 0.3711]])
logits:tensor([[0.1021, 0.8902]]), confscore:tensor([[0.8979, 0.1098]])
logits:tensor([[0.5407, 0.4564]]), confscore:tensor([[0.4593, 0.5436]])
logits:tensor([[0.7488, 0.2526]]), confscore:tensor([[0.2512, 0.7474]])
logits:tensor([[0.4245, 0.5579]]), confscore:tensor([[0.5755, 0.4421]])
logits:tensor([[0.3887, 0.6413]]), confscore:tensor([[0.6113, 0.3587]])
logits:tensor([[0.5610, 0.4247]]), confscore:tensor([[0.4390, 0.5753]])
logits:tensor([[0.5409, 0.4409]]), confscore:tensor([[0.4591, 0.5591]])
logits:tensor([[0.3314, 0.6695]]), confscore:tensor([[0.6686, 0.3305]])
logits:tensor([[0.9174, 0.0798]]), confscore:tensor([[0.0826, 0.9202]])
logits:tensor([[0.6832, 0.3137]]), confscore:tensor([[0.3168, 0.6863]])
logits:tensor([[0.2692, 0.7574]]), confscore:tensor([[0.7308, 0.2426]])
logits:tensor([[0.9229, 0.0747]]), confscore:tensor([[0.0771, 0.9253]])
logits:tensor([[0.3304, 0.6506]]), confscore:tensor([[0.6696, 0.3494]])
logits:tensor([[0.4029, 0.6282]]), confscore:tensor([[0.5971, 0.3718]])
logits:tensor([[0.4324, 0.5669]]), confscore:tensor([[0.5676, 0.4331]])
logits:tensor([[0.4694, 0.5101]]), confscore:tensor([[0.5306, 0.4899]])
logits:tensor([[0.8289, 0.1710]]), confscore:tensor([[0.1711, 0.8290]])
logits:tensor([[0.7064, 0.2736]]), confscore:tensor([[0.2936, 0.7264]])
logits:tensor([[0.8454, 0.1430]]), confscore:tensor([[0.1546, 0.8570]])
logits:tensor([[0.5373, 0.4387]]), confscore:tensor([[0.4627, 0.5613]])
logits:tensor([[0.7677, 0.2237]]), confscore:tensor([[0.2323, 0.7763]])
logits:tensor([[0.8777, 0.1306]]), confscore:tensor([[0.1223, 0.8694]])
logits:tensor([[0.8154, 0.1733]]), confscore:tensor([[0.1846, 0.8267]])
logits:tensor([[0.2610, 0.7234]]), confscore:tensor([[0.7390, 0.2766]])
logits:tensor([[0.2029, 0.8161]]), confscore:tensor([[0.7971, 0.1839]])
logits:tensor([[0.0999, 0.9096]]), confscore:tensor([[0.9001, 0.0904]])
logits:tensor([[0.4716, 0.5115]]), confscore:tensor([[0.5284, 0.4885]])
logits:tensor([[0.4455, 0.5320]]), confscore:tensor([[0.5545, 0.4680]])
logits:tensor([[0.5140, 0.4938]]), confscore:tensor([[0.4860, 0.5062]])
logits:tensor([[0.8851, 0.1204]]), confscore:tensor([[0.1149, 0.8796]])
logits:tensor([[0.6934, 0.2872]]), confscore:tensor([[0.3066, 0.7128]])
logits:tensor([[0.8382, 0.1598]]), confscore:tensor([[0.1618, 0.8402]])
logits:tensor([[0.5126, 0.4807]]), confscore:tensor([[0.4874, 0.5193]])
logits:tensor([[0.2028, 0.7960]]), confscore:tensor([[0.7972, 0.2040]])
logits:tensor([[0.7764, 0.2181]]), confscore:tensor([[0.2236, 0.7819]])
logits:tensor([[0.8461, 0.1481]]), confscore:tensor([[0.1539, 0.8519]])
logits:tensor([[0.2362, 0.7384]]), confscore:tensor([[0.7638, 0.2616]])
logits:tensor([[0.6758, 0.3627]]), confscore:tensor([[0.3242, 0.6373]])
logits:tensor([[0.7976, 0.2076]]), confscore:tensor([[0.2024, 0.7924]])
logits:tensor([[0.6256, 0.3717]]), confscore:tensor([[0.3744, 0.6283]])
logits:tensor([[0.7365, 0.2761]]), confscore:tensor([[0.2635, 0.7239]])
logits:tensor([[0.8655, 0.1214]]), confscore:tensor([[0.1345, 0.8786]])
logits:tensor([[0.7011, 0.2986]]), confscore:tensor([[0.2989, 0.7014]])
logits:tensor([[0.0982, 0.9065]]), confscore:tensor([[0.9018, 0.0935]])
